INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
31-11 101 STREET,QUEENS,03 QUEENS,Precinct 115,21,4016870064,08/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,1020805,216452
519 41 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3009170068,06/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,983014,176010
2121 SAINT RAYMONDS AVENUE,BRONX,09 BRONX,Precinct 43,18,2039437501,05/31/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/12/2016,1024462,244454
565 FORT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021790226,05/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2016,1001619,250460
106 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3022900023,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2016,996666,201665
345 EAST  205 STREET,BRONX,07 BRONX,Precinct 52,11,2033500044,04/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/09/2016,1018509,257554
2013 VYSE AVENUE,BRONX,06 BRONX,Precinct 48,17,2031270024,04/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,1016932,246186
517 53 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008080069,04/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/13/2016,981065,173568
1763 AVENUE L,BROOKLYN,14 BROOKLYN,Precinct 70,44,,02/26/2017,Closed,10-90Y - Unnecessary,02/26/2017,995903,165409
334 ASHFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039990022,11/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,02/28/2017,1016090,184923
63-36 99 STREET,QUEENS,06 QUEENS,Precinct 112,29,4020997502,11/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,1023928,206020
6315 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055400004,10/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2016,987214,165147
79 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032650065,08/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/10/2016,1005306,192791
1811 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2040490063,06/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2016,1021238,247426
3035 CROSS BRONX EXPRESSWAY,BRONX,10 BRONX,Precinct 45,13,2054390077,07/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/24/2016,1034392,239037
300 AVENUE OF THE AMERICAS,MANHATTAN,02 MANHATTAN,Precinct 6,01,1005420010,04/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/30/2016,983759,205385
1550 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2028757501,04/25/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/08/2016,1005869,247481
567 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,17,2026830043,04/01/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1011067,235283
567 VANDERBILT AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011300009,03/26/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993200,187305
214-42 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106730011,03/25/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1053377,204071
212 EAST  180 STREET,BRONX,05 BRONX,Precinct 46,15,2031560018,03/03/2017,Open,Site downloaded for cleaning,,1011343,250161
1624 MADISON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,09,1016140017,02/03/2017,Open,Site downloaded for cleaning,,998556,229004
195 STANHOPE STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032570031,02/16/2017,Open,Site downloaded for cleaning,,1006048,194223
511 85 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060270001,02/24/2017,Open,Site downloaded for cleaning,,977249,165846
6015 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057830004,02/06/2017,Open,Site downloaded for cleaning,,979724,172202
804 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026760044,02/08/2017,Open,Site downloaded for cleaning,,1011017,237605
4417 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007390003,03/02/2017,Open,Site downloaded for cleaning,,982317,175474
612 BRIGHTON BEACH AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3086910051,02/06/2017,Open,Site downloaded for cleaning,,995019,149731
185 ROMA AVENUE,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,5040690001,02/07/2017,Open,Site downloaded for cleaning,,955395,143861
1099 2 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,04,1013310027,01/29/2017,Open,Site downloaded for cleaning,,993968,216108
246 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005070041,01/22/2017,Open,Site downloaded for cleaning,,986155,202595
105 CENTRAL AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031730001,01/03/2017,Open,Site downloaded for cleaning,,1003897,194445
2438 STILLWELL AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069050024,01/10/2017,Open,Site downloaded for cleaning,,988799,153514
330 EAST  188 STREET,BRONX,05 BRONX,Precinct 46,15,2030220073,01/06/2017,Open,Site downloaded for cleaning,,1013419,252800
2665 VALENTINE AVENUE,BRONX,07 BRONX,Precinct 52,15,2033040069,01/06/2017,Open,Site downloaded for cleaning,,1013846,254751
618 WEST  177 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021440017,12/20/2016,Open,Site downloaded for cleaning,,1001890,247861
6011 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057820005,12/19/2016,Open,Site downloaded for cleaning,,979101,172703
575 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023290001,12/07/2016,Open,Site downloaded for cleaning,,996189,200342
430 BROADWAY,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,5002190054,12/08/2016,Open,Site downloaded for cleaning,,951920,169016
240 EAST    6 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004610028,12/11/2016,Open,Site downloaded for cleaning,,987144,204441
312 RIVERSIDE DRIVE,MANHATTAN,07 MANHATTAN,Precinct 24,06,1018900040,11/29/2016,Open,Site downloaded for cleaning,,992195,230935
460 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003710039,11/30/2016,Open,Site downloaded for cleaning,,984835,186381
207 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020900065,12/10/2016,Open,Site downloaded for cleaning,,992211,190502
2611 EAST   12 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074560083,12/18/2016,Open,Site downloaded for cleaning,,995880,153223
169 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1005130022,11/30/2016,Open,Site downloaded for cleaning,,984827,203573
9409 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061180009,10/01/2016,Open,Site downloaded for cleaning,,975747,163830
84 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004840001,09/08/2016,Open,Site downloaded for cleaning,,984248,202662
190-13 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4110600055,03/29/2017,Open,Site to be cleaned.,,1050554,191502
58 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031870034,04/03/2017,Open,Site to be cleaned.,,1005302,195962
1793 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016950052,03/08/2017,Open,Site to be cleaned.,,1004432,186730
623 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034300001,02/23/2017,Open,Site to be cleaned.,,1010139,190625
890 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,40,3054030126,03/12/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993185,170926
1119 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052910020,03/16/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987233,173662
34-40 31 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006070044,03/29/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1004251,215810
212-08 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106690090,03/18/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1052480,203450
529 WAVERLY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020120010,03/22/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993767,187882
239 WEST   39 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,03,1007890021,03/14/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987152,214214
131 DRIGGS AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027030019,03/09/2017,Open,Site downloaded for cleaning,,999827,202732
261 RIDER AVENUE,BRONX,01 BRONX,Precinct 40,08,2023400063,03/03/2017,Open,Site downloaded for cleaning,,1004225,235108
553 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2022660025,02/13/2017,Open,Site downloaded for cleaning,,1006942,233323
668 EAST  161 STREET,BRONX,01 BRONX,Precinct 40,17,2026300049,03/06/2017,Open,Site downloaded for cleaning,,1010050,238689
868 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031230047,02/09/2017,Open,Site downloaded for cleaning,,1016576,247276
251 EAST  137 STREET,BRONX,01 BRONX,Precinct 40,08,2023200185,03/06/2017,Open,Site downloaded for cleaning,,1004078,234669
2 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021750001,02/25/2017,Open,Site downloaded for cleaning,,1003804,253468
2440 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2031880033,02/01/2017,Open,Site downloaded for cleaning,,1011479,253390
1890 BRUCKNER BOULEVARD,BRONX,09 BRONX,Precinct 43,18,2036710019,01/11/2017,Open,Site downloaded for cleaning,,1022906,240059
1800 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2028260087,01/04/2017,Open,Site downloaded for cleaning,,1009659,247984
210 EAST  167 STREET,BRONX,04 BRONX,Precinct 44,16,2024560227,01/04/2017,Open,Site downloaded for cleaning,,1007426,243122
216 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,08,2022810006,01/05/2017,Open,Site downloaded for cleaning,,1005431,233758
349 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018200005,11/29/2016,Open,Site downloaded for cleaning,,999670,189152
1950 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015480001,11/14/2016,Open,Site downloaded for cleaning,,1006252,186595
362 CATHEDRAL PARKWAY,MANHATTAN,07 MANHATTAN,Precinct 24,07,1018450003,10/30/2016,Open,Site downloaded for cleaning,,995292,231236
1571 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065640060,07/31/2016,Open,Site downloaded for cleaning,,991434,163259
207 EAST   59 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,04,1014140005,04/06/2017,Open,Site to be cleaned.,,993630,216668
39 EAST   31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,02,1008610031,03/27/2017,Open,Site to be cleaned.,,988718,210945
132 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022350028,04/05/2017,Open,Site to be cleaned.,,1006089,255017
272 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007730001,03/19/2017,Open,Site to be cleaned.,,984757,210959
1179 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3051880019,02/14/2017,Open,Site to be cleaned.,,996307,172977
318 CYPRESS AVENUE,BRONX,01 BRONX,Precinct 40,08,2025680048,02/13/2017,Open,Site to be cleaned.,,1008207,233469
12 WILLOUGHBY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020890035,04/06/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,991735,191277
227 AVENUE U,BROOKLYN,11 BROOKLYN,Precinct 62,47,3071010041,04/03/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,990976,156673
2166 FULTON STREET,BROOKLYN,16 BROOKLYN,Precinct 73,37,3015520015,03/08/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009193,186387
303 WEST   29 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007530034,02/13/2017,Open,Site downloaded for cleaning,,985300,212251
103 MALCOM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016220001,02/24/2017,Open,Site downloaded for cleaning,,1003529,190721
140-71 ASH AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4051820039,01/04/2017,Open,Site downloaded for cleaning,,1033511,214771
69-64 198 STREET,QUEENS,08 QUEENS,Precinct 107,23,4071500035,01/06/2017,Open,Site downloaded for cleaning,,1046681,207698
574 51 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008000037,01/05/2017,Open,Site downloaded for cleaning,,981638,173771
9707 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061270011,12/28/2016,Open,Site downloaded for cleaning,,975330,163188
528 50 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007920014,01/05/2017,Open,Site downloaded for cleaning,,981598,174134
416 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050610040,11/27/2016,Open,Site downloaded for cleaning,,994927,177080
4404 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007390037,11/28/2016,Open,Site downloaded for cleaning,,982936,175010
32-32 83 STREET,QUEENS,03 QUEENS,Precinct 115,25,4014120024,12/23/2016,Open,Site downloaded for cleaning,,1016196,215084
1521 LONGFELLOW AVENUE,BRONX,03 BRONX,Precinct 42,17,2030010153,12/09/2016,Open,Site downloaded for cleaning,,1015768,242821
136-04 59 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,4063790003,02/25/2017,Open,Site to be cleaned.,,1031570,210457
66 FIRST AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,,12/29/2016,Open,Property Research Required,,987815,203431
 TOMPKINS AVE AND VANDERBILT AVE,STATEN ISLAND,Unspecified STATEN ISLAND,Unspecified,,,01/23/2017,Open,Property Research Required,,,
2868 FREDERICK DOUGLASS BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 32,09,,10/13/2016,Open,Property Research Required,,1001293,240804
188 SOUTH    4 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,,08/24/2016,Open,Property Research Required,,995204,198313
 west 202 street 9 avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,08/25/2016,Open,Property Research Required,,,
3925 BARNES AVENUE,BRONX,12 BRONX,Precinct 47,12,2048370008,03/08/2017,Open,Site downloaded for cleaning,,1023432,261972
104-41 ATLANTIC AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4093130044,02/09/2017,Open,Site downloaded for cleaning,,1028408,190866
4566 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021720001,12/19/2016,Open,Site downloaded for cleaning,,1003297,252535
63 GREENE STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004867503,11/02/2016,Open,Site downloaded for cleaning,,983945,202660
372 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027790003,04/08/2016,Pending,Cleaning crew dispatched.  Property cleaned.,07/06/2015,997781,198495
2560 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3085900031,07/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/18/2016,1006305,160820
436 BEACH  129 STREET,QUEENS,14 QUEENS,Precinct 100,32,4162100060,08/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2016,1026058,150108
250-21 NORTHERN BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4081290089,07/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2016,1057082,219487
82-18 ROCKAWAY BOULEVARD,QUEENS,09 QUEENS,Precinct 102,32,4090130031,11/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1023663,188520
584 GATES AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018150040,01/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,02/23/2017,1000257,189634
226 VARICK STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005280056,10/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/26/2017,982800,204921
1111 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051650067,08/24/2016,Closed,Cleaning crew dispatched.  Owner refused.,01/04/2017,995976,173656
1869 UTICA AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3077980033,08/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,1004319,167609
694 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030890035,10/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/28/2016,1016184,250497
1897 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016540045,08/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,999396,227353
398 AUDOBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021570017,11/03/2016,Open,Site downloaded for cleaning,,1003428,249336
109 WEST   24 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,03,1008000033,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2016,986217,210272
2121 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063470069,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2016,985487,158956
133-44 150 STREET,QUEENS,12 QUEENS,Precinct 113,28,4121160001,06/22/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/28/2016,1042705,182587
1804 RANDALL AVENUE,BRONX,09 BRONX,Precinct 43,18,2035220038,08/17/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/26/2016,1022263,236976
1280 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052240133,08/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2016,996971,172082
3382 PARK AVENUE,BRONX,03 BRONX,Precinct 42,16,2023870010,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,1008983,241144
1140 WEBSTER AVENUE,BRONX,03 BRONX,Precinct 42,16,2023920016,08/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/18/2016,1008941,241756
1591 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018590033,06/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1001571,186933
2380 BELMONT AVENUE,BRONX,06 BRONX,Precinct 48,15,2030740041,06/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1015627,250579
114-16 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,32,4117060037,07/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/30/2016,1033065,185943
2013 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019050063,05/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2016,997992,232990
4108 18 AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,44,3054100001,06/18/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,09/13/2016,991327,169537
635 MEEKER AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027050035,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2016,1000541,202406
105-17 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100590030,04/20/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/01/2016,1038742,192727
39 FROST STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027310032,06/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2016,997957,200700
28 NORTH   15 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026130001,06/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,996222,203279
14-05 PARSONS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,19,4046220012,05/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2016,1033470,225931
416 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009980041,07/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,988247,183392
48 CYPRESS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031900037,04/12/2016,Closed,Cleaning crew dispatched.  Owner refused.,08/17/2016,1006360,197383
36-30 36 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006350019,05/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/16/2016,1004665,214001
1114 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046160006,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2016,1005597,181500
2267 HUGHES AVENUE,BRONX,06 BRONX,Precinct 48,15,2030710054,05/04/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,1015103,249693
6302 16 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055370037,04/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2016,985971,166283
966 EAST  165 STREET,BRONX,02 BRONX,Precinct 41,17,2027150053,04/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,06/13/2016,1013416,239479
215-34 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106750017,07/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/27/2016,1053807,204341
33-15 FRANCIS LEWIS BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4060740049,07/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2016,1042346,218794
170 WEST   78 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,06,1011490061,04/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/25/2017,990387,224197
606 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050260154,09/19/2016,Closed,Cleaning crew dispatched. No graffiti on property.,01/04/2017,995200,179319
222 BUSHWICK AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030540020,08/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/21/2016,1000904,197281
601 WEST  152 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020990029,09/16/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,998748,242044
474 WEST  148 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,07,1020620061,09/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/13/2016,999302,240542
63 BUSHWICK AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029190005,08/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/12/2016,1000557,199031
68 SOUTH    2 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3024150026,09/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/09/2016,993845,199534
454 LORIMER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027860001,08/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,998450,198151
41-06 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006830026,09/07/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/05/2016,1008061,217429
866 THOMAS BOYLAND STREET,BROOKLYN,16 BROOKLYN,Precinct 73,42,3035990053,08/12/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/21/2016,1008932,179526
